Key,en,es,ar
create Invoice,Create Invoice,Crear factura,إنشاء فاتورة
invoice To,Invoice To,Factura,فاتورة إلى
billing Address,Billing Address,Dirección de Envio,عنوان وصول الفواتير
notes,Notes,Notas,ملحوظات
item Details,Item Details,detalles del artículo,تفاصيل العنصر
client Name,Client Name,nombre del cliente,اسم العميل
item Name,Item Name,Nombre del árticulo,اسم العنصر
voucher,Voucher,Vale,فاتورة
redeem,Redeem,Canjear,يسترد
used,Used,Usado,مستخدم
not Used,Not Used,No utilizado,غير مستعمل
Code,Code,Código,شفرة
create Voucher,Create Voucher,Crear cupón,إنشاء قسيمة
confirm Redeem,Confirm Redeem,Confirmar redimir,تأكيد الاسترداد
redeem Code,Redeem Code,Canjear código,استرداد رمز
money Out Log,Money Out Log,Money Out Log,سجل الأموال
exchange Log,Exchange Log,Registro de intercambio,سجل التبادل
request Log,Request Log,Registro de solicitud,طلب سجل
back To Home,Back To Home,De vuelta a casa,العودة إلى المنزل
enable 2fa Security,Enable 2FA Security,Habilitar la seguridad de 2FA,تمكين 2FA الأمن
send Verification Code,Send Verification Code,Envíe el código de verificación,إرسال رمز التحقق
old Password,Old Password,Contraseña anterior,كلمة المرور القديمة
individual,Individual,Individual,فردي
business,Business,Negocio,عمل
middle Name,Middle Name,Segundo nombre,الاسم الأوسط
company Name,Company Name,nombre de empresa,اسم الشركة
gender,Gender,Género,جنس
date Of Birth,Bate Of Birth,Bate de nacimiento,تاريخ الميلاد
nationality,Nationality,Nacionalidad,جنسية
my Receipt,My Receipt,Mi recibo,إيصالي
total Exchanged Amount,Total Exchanged Amount,Cantidad total intercambiada,إجمالي المبلغ المتبادل
converted Amount,Converted Amount,Cantidad convertida,المبلغ المحول
requested Amount,Requested Amount,Monto requerido,الكمية المطلوبة
step Up And Play On,STEP UP & PLAY ON,Pase y juega en,تصعد واللعب على
sign In Msg,Sign in to your account,Iniciar sesión en su cuenta,تسجيل الدخول في MSG
continue As Guest,Continue as a Guest,Continuar como invitado,استمر كضيف
back To Sign In,Back to Sign In,Volver para iniciar sesión,العودة لتسجيل الدخول
please Follow The Limit,Please! Follow the Limit.,¡Por favor! Sigue el límite.,يرجى اتباع الحد الأقصى
image Path Required,Image path is required,Se requiere ruta de imagen,مسار الصورة المطلوب
upload Image,Upload Image,Cargar imagen,تحميل الصور
sign In,Sign In,Iniciar sesión,تسجيل الدخول
sign Out Msg,Do you want to Sign Out?,¿Quieres firmar?,هل تريد تسجيل الخروج؟
Read More,Read More,Leer más,اقرأ أكثر
Search For Top Up,Search For Top Up,Buscar recarga,البحث عن أعلى حتى
"Ex: Transaction, Add Money","Ex: Transaction, Add Money","Ej: transacción, agregar dinero",على سبيل المثال: المعاملة، إضافة المال
Panding,Panding,pandeo,باندينغ
Review,Review,Revisar,مراجعة
Settled,Settled,Establecido,تسوية
Phone Number,Phone Number,Número de teléfono,رقم التليفون
Total,Total,Total,المجموع
State / Province / Region,State / Province / Region,Estado / Provincia / Región,الدولة / الإقليم / المنطقة
Zip / Postal Code,Zip / Postal Code,Código postal,الرمز البريدي / الرمز البريدي
Add Support Ticket,Add Support Ticket,Agregar ticket de soporte,إضافة تذكرة الدعم
Enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ
Description,Description,Descripción,وصف
Attachments,Attachments,Archivos adjuntos,المرفقات
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم
Mark as Solved,Mark as Solved,Marcar como resuelto,"وضع علامة ""محلول""."
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de soporte creado exitosamente!,تم إنشاء تذكرة الدعم بنجاح!
Oops! Faild to upload attachment. Please try again.,Oops! Faild to upload attachment. Please try again.,¡Ups! No se pudo cargar el archivo adjunto. Inténtalo de nuevo.,أُووبس! فشل تحميل المرفق. حاول مرة اخرى.
Something went worng! Please try again.,Something went worng! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,لقد ذهب شيء ما! حاول مرة اخرى.
Oops! Invalid Payment Gateway,Oops! Invalid Payment Gateway,¡Ups! Pasarela de pago no válida,أُووبس! بوابة الدفع غير صالحة
Request server successfully,Request server successfully,Solicitar servidor con éxito,تم طلب الخادم بنجاح
Please increase your amount,Please increase your amount,Por favor aumenta tu cantidad,من فضلك قم بزيادة المبلغ الخاص بك
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacciones,يرجى اتباع حد المعاملة
Transaction faild. Record didn't saved properly. Please try again.,Transaction faild. Record didn't saved properly. Please try again.,La transacción falló. El registro no se guardó correctamente. Inténtalo de nuevo.,فشلت المعاملة. لم يتم حفظ السجل بشكل صحيح. حاول مرة اخرى.
Topup Successfully,Topup Successfully,Recarga exitosa,اشحن رصيدك بنجاح
Successfully Added Money,Successfully added money,Dinero agregado exitosamente,تمت إضافة الأموال بنجاح
Transaction failed,Transaction failed,Transacción fallida,فشل الاجراء
Transaction Failed. The record was not saved properly. Please try again.,Transaction Failed. The record was not saved properly. Please try again.,Transacción fallida. El registro no se guardó correctamente. Inténtalo de nuevo.,فشل الاجراء. لم يتم حفظ السجل بشكل صحيح. حاول مرة اخرى.
Payment Failed,Payment Failed,Pago fallido,عملية الدفع فشلت
Something Is Wrong,Something Is Wrong,Algo está mal,هناك شئ غير صحيح
Account successfully verified,Account successfully verified,Cuenta verificada exitosamente,تم التحقق من الحساب بنجاح
Session expired. Please try again,Session expired. Please try again,Sesión expirada. Inténtalo de nuevo,انتهت الجلسة. حاول مرة اخرى
Mail Resend Success!,Mail Resend Success!,¡Reenvío de correo exitoso!,نجاح إعادة إرسال البريد!
Your wallet not found,Your wallet not found,Tu billetera no encontrada,لم يتم العثور على محفظتك
Something was wrong!,Something was wrong!,¡Algo andaba mal!,كان هناك خطأ ما!
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!
Security Setting Updated Successfully!,Security Setting Updated Successfully!,¡Configuración de seguridad actualizada exitosamente!,تم تحديث إعداد الأمان بنجاح!
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!
Password Changed successfully login again!,Password Changed successfully login again!,Contraseña cambiada exitosamente ¡Inicie sesión nuevamente!,تم تغيير كلمة المرور بنجاح قم بتسجيل الدخول مرة أخرى!
New password & confirm password is not same!,New password & confirm password is not same!,¡Nueva contraseña y confirmación de contraseña no son lo mismo!,كلمة المرور الجديدة وتأكيد كلمة المرور ليسا نفس الشيء!
Password not updated!,Password not updated!,¡Contraseña no actualizada!,لم يتم تحديث كلمة المرور!
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.
SMS Sending faild! Please try again.,SMS Sending faild! Please try again.,¡Error en el envío de SMS! Inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! حاول مرة اخرى.
Registration successfully.,Registration successfully.,Registro exitoso.,تم التسجيل بنجاح.
Code not found,Code not found,Código no encontrado,لم يتم العثور على الرمز
Email not found,Email not found,El correo electrónico no encontrado,البريد الإلكتروني غير موجود
Invalid Request!,Invalid Request!,¡Solicitud no válida!,طلب غير صالح!
Payment gateway currency is invalid!,Payment gateway currency is invalid!,¡La moneda de la pasarela de pago no es válida!,عملة بوابة الدفع غير صالحة!
Top up successfully,Top up successfully,Recarga exitosamente,قم بتعبئة الرصيد بنجاح
Add Money Information!,Add Money Information!,¡Agregue información de dinero!,إضافة معلومات المال!
Gateway Information is not available. Please provide payment gateway currency alias,Gateway Information is not available. Please provide payment gateway currency alias,La información de la puerta de enlace no está disponible. Proporcione el alias de moneda de la pasarela de pago,معلومات البوابة غير متوفرة. يرجى تقديم الاسم المستعار لعملة بوابة الدفع
User wallet not found!,User wallet not found!,¡No se encontró la billetera del usuario!,لم يتم العثور على محفظة المستخدم!
Add Money Inserted Successfully,Add Money Inserted Successfully,Agregue dinero insertado exitosamente,تم إضافة الأموال بنجاح
"Payment successful, please go back your app","Payment successful, please go back your app","Pago exitoso, regrese a su aplicación",تم الدفع بنجاح، يرجى الرجوع إلى تطبيقك
Payment Cancelled,Payment Cancelled,Pago cancelado,تم إلغاء الدفع
Added Money Failed,Added Money Failed,Error al agregar dinero,فشلت إضافة الأموال
Added Money Canceled,Added Money Canceled,Dinero agregado cancelado,تم إلغاء الأموال المضافة
Data fetched successfully,Data fetched successfully,Datos obtenidos correctamente,تم جلب البيانات بنجاح
Language Data Fetch Successfully!,Language Data Fetch Successfully!,¡Obtención de datos de idioma exitosamente!,تم جلب بيانات اللغة بنجاح!
Dashboard Information,Dashboard Information,Información del panel,معلومات لوحة القيادة
User Profile,User Profile,Perfil del usuario,ملف تعريفي للمستخدم
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,هناك خطأ ما! حاول مرة اخرى.
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة السر بنجاح!
Account Delete successfully!,Account Delete successfully!,¡Eliminación de cuenta exitosa!,تم حذف الحساب بنجاح!
Data Fetch Successfully,Data Fetch Successfully,Obtención de datos exitosa,تم جلب البيانات بنجاح
Google 2FA Updated Successfully!,Google 2FA Updated Successfully!,¡Google 2FA se actualizó con éxito!,تم تحديث Google 2FA بنجاح!
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,Su clave secreta no se almacenó correctamente. Por favor contacte con el administrador del sistema,لم يتم تخزين مفتاحك السري بشكل صحيح. يرجى الاتصال بمسؤول النظام
Google 2FA Verified Successfully,Google 2FA Verified Successfully,Google 2FA verificado con éxito,تم التحقق من Google 2FA بنجاح
Faild to login. Please try again,Faild to login. Please try again,No se pudo iniciar sesión. Inténtalo de nuevo,فشل في تسجيل الدخول. حاول مرة اخرى
Top Up List!,Top Up List!,¡Lista de recargas!,أعلى القائمة!
Top Up Details!,Top Up Details!,¡Detalles de recarga!,تفاصيل تعبئة الرصيد!
Purchase Details!,Purchase Details!,¡Detalles de la compra!,تفاصيل شراء!
Top Up Inserted Successfully,Top Up Inserted Successfully,Recarga insertada exitosamente,تم إدراج تعبئة الرصيد بنجاح
Top Up transaction logs,Top Up transaction logs,Recargar registros de transacciones,قم بتعبئة سجلات المعاملات
Insufficient Balance,Insufficient Balance,Saldo insuficiente,رصيد غير كاف
Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications.,Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications.,Google Authenticator es un autenticador basado en productos de Google que ejecuta administraciones de confirmación de dos empresas para verificar clientes de cualquier aplicación de programación.,Google Authenticator عبارة عن أداة مصادقة تعتمد على المنتج من Google وتقوم بتنفيذ خدمات تأكيد المشروعين للتحقق من عملاء أي تطبيقات برمجية.
2fa Security,2FA Security,seguridad 2fa,2FA الأمن
Your Wallet,Your Wallet,Tu billetera,محفظتك
balance  has been added,balance  has been added,se ha agregado saldo,تمت إضافة الرصيد
Hole,Hole,Agujero,فتحة
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة
Active Ticket,Active Ticket,Boleto Activo,تذكرة نشطة
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة محلولة
All Ticket,All Ticket,Todos los boletos,جميع التذاكر
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!
View Users,View Users,Ver usuarios,عرض المستخدمين
Name | Code,Name | Code,Nombre | Código,الاسم | شفرة
Symbol,Symbol,Símbolo,رمز
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
Country Flag,Country Flag,Bandera del país,علم الدولة
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة
Charge Updated Successfully!,Charge Updated Successfully!,¡Carga actualizada exitosamente!,تم تحديث الشحن بنجاح!
Transaction charge not found!,Transaction charge not found!,¡Cargo de transacción no encontrado!,لم يتم العثور على رسوم المعاملة!
Game Top Up Charges,Game Top Up Charges,Cargos de recarga de juegos,رسوم تعبئة اللعبة
Fixed Charge,Fixed Charge,Cargo fijo,تهمة ثابتة
Percent Charge,Percent Charge,Cargo porcentual,تهمة في المئة
TRX,TRX,TRX,تي آر إكس
Top Up Coin,Top Up Coin,Recargar moneda,قم بتعبئة العملة
Add Money request send to admin successfully,Add Money request send to admin successfully,Agregar solicitud de dinero enviada al administrador con éxito,تم إرسال طلب إضافة أموال إلى المشرف بنجاح
Top up request send to admin successfully,Top up request send to admin successfully,Solicitud de recarga enviada al administrador con éxito,تم إرسال طلب تعبئة الرصيد إلى المشرف بنجاح
Top Up Successful,Top Up Successful,Recarga exitosa,تم تعبئة الرصيد بنجاح
Add Money Successful,Add Money Successful,Añadir dinero correctamente,تمت إضافة الأموال بنجاح
"Sorry, your payment information is invalid","Sorry, your payment information is invalid","Lo sentimos, tu información de pago no es válida.",عذرًا، معلومات الدفع الخاصة بك غير صالحة
Review Payment,Review Payment,Revisar pago,مراجعة الدفع
Delayed,Delayed,Demorado,تأخير
Rejected,Rejected,Rechazado,مرفوض
Refunded,Refunded,Reintegrado,ردها
Add Money Details,Add Money Details,Agregar detalles de dinero,أضف تفاصيل الأموال
Add Money Details for,Add Money Details for,Agregar detalles de dinero para,أضف تفاصيل الأموال لـ
Progress of Add Money Transactions,Progress of Add Money Transactions,Progreso de las transacciones de Agregar dinero,التقدم المحرز في إضافة المعاملات المالية
In Progress,In Progress,En curso,في تَقَدم
Under Review,Under Review,Bajo revisión,قيد المراجعة
Enter a title,Enter a title,Introduce un título,أدخل عنوانا
Enter a Description,Enter a Description,Introduzca una descripción,أدخل الوصف
Enter a Apple Store Game Link,Enter a Apple Store Game Link,Ingrese un enlace de juego de Apple Store,أدخل رابط لعبة Apple Store
Enter a Google Store Game Link,Enter a Google Store Game Link,Ingrese un enlace de juego de Google Store,أدخل رابط لعبة Google Store
User Details,User Details,Detalles de usuario,بيانات المستخدم
Current Balance,Current Balance,Saldo actual,الرصيد الحالي
Total Add Money,Total Add Money,Añadir dinero total,إجمالي إضافة المال
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
Information of User,Information of User,Información del Usuario,معلومات المستخدم
Write Here...,Write Here...,Escribe aquí...,اكتب هنا...
2FA Verification,2FA Verification,Verificación 2FA,التحقق 2FA
Verified,Verified,Verificado,تم التحقق
User Status,User Status,Estatus de usuario,حالة المستخدم
Zip/Postal,Zip/Postal,Código postal,الرمز البريدي
Banned,Banned,Prohibido,محظور
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح
SL,SL,SL,إس إل
IP,IP,IP,الملكية الفكرية
MAC,MAC,MAC,ماك
Location,Location,Ubicación,موقع
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل
Login at,Login at,Inicia sesión en,تسجيل الدخول في
USER,USER,USUARIO,مستخدم
Mail Sender(Method),SEND,Remitente de correo (método),يرسل
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم
User KYC information is rejected,User KYC information is rejected,La información KYC del usuario es rechazada,تم رفض معلومات KYC الخاصة بالمستخدم
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول
Select State,Select State,Seleccione estado,اختر ولايه
Select City,Select City,Ciudad selecta,اختر مدينة
Save & Change,Save & Change,Guardar cambios,حفظ وتغيير
Add Admin,Add Admin,Agregar administrador,إضافة المشرف
Generate,Generate,Generar,يولد
Select Role,Select Role,Seleccionar rol,حدد الدور
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف
SL NO,SL NO,SI. NO,SL. لا
Role Name,Role Name,Nombre de rol,اسم الدور
Asign Admin,Asign Admin,Asignar administrador,تعيين المشرف
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف
Sub Title,Sub Title,Subtítulo,العنوان الفرعي
Cancel,Cancel,Cancelar,يلغي
App Version,App Version,Version de aplicacion,نسخة التطبيق
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS
Category Name,Category Name,nombre de la categoría,اسم التصنيف
Created Time,Created Time,Hora de creación,وقت الإنشاء
Type Here...,Type Here...,Escriba aquí...,أكتب هنا...
Google Store,Google Store,Tienda de Google,متجر جوجل
Apple Store,Apple Store,tienda Apple,متجر آبل
Feature Image,Feature Image,Imagen destacada,صورة مميزة
Background Image,Background Image,Imagen de fondo,الصورة الخلفية
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد
Choose One,Choose One,Elige uno,اختر واحدًا
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن
Permission Name,Permission Name,Nombre del permiso,اسم الإذن
Edit Permission,Edit Permission,Editar permiso,تحرير إذن
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد
Edit Role,Edit Role,Editar rol,تحرير الدور
Add New Category,Add New Category,Añadir nueva categoria,إضافة فئة جديدة
Edit Category,Edit Category,Editar categoria,تحرير الفئة
Select Country,Select Country,Seleccionar país,حدد الدولة
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة
Edit Coin,Edit Coin,Editar moneda,تحرير العملة
Quantity,Quantity,Cantidad,كمية
Update Extension,Update Extension,Actualizar extensión,تحديث الامتداد
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,شرح سبب الرفض
Rejejct KYC,Rejejct KYC,Rechazar KYC,رفض اعرف عميلك
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي ل
in bellow,in bellow,abajo,في رفع الصوت عاليا
Minimum,Minimum,Mínimo,الحد الأدنى
Maximum,Maximum,Máximo,أقصى
Percent,Percent,Por ciento,نسبه مئويه
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة
Fixed,Fixed,Fijado,مُثَبَّت
ex: Paypal,ex: Paypal,Ej: Paypal,على سبيل المثال: باي بال
ex: USD,ex: USD,ejemplo: USD,على سبيل المثال: دولار أمريكي
ex: $,ex: $,ej: $,على سبيل المثال: $
Collect Data,Collect Data,Recolectar datos,اجمع بيانات
Field Name,Field Name,Nombre del campo,اسم الحقل
Field Types,Field Types,Tipos de campo,أنواع الحقول
Input Text,Input Text,Texto de entrada,أدخل نصآ
File,File,Archivo,ملف
Textarea,Textarea,área de texto,منطقة النص
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال
Required,Required,Requerido,مطلوب
Add Language,Add Language,Agregar idioma,إضافة لغة
Language Name,Language Name,Nombre del lenguaje,اسم اللغة
Language Code,Language Code,Código de lenguaje,رمز اللغة
Direction,Direction,Dirección,اتجاه
LTR,LTR,LTR,لتر
RTL,RTL,RTL,من اليمين إلى اليسار
Edit Language,Edit Language,Editar idioma,تحرير اللغة
Select Language,Select Language,Seleccione el idioma,اختار اللغة
Language File,Language File,Archivo de idioma,ملف اللغة
Add About Item,Add About Item,Agregar sobre el artículo,أضف حول العنصر
Add Blog,Add Blog,Agregar blog,أضف مدونة
Blog Category,Blog Category,Categoría de blog,فئة المدونة
Add Solution,Add Solution,Agregar solución,أضف الحل
Add Service,Add Service,Agregar servicio,أضف الخدمة
Social Icon,Social Icon,Icono social,أيقونة الاجتماعية
Link,Link,Enlace,وصلة
Add Header Floting,Add Header Floting,Agregar encabezado flotante,إضافة رأس عائم
Left Button Text,Left Button Text,Texto del botón izquierdo,نص الزر الأيسر
Left Button Link,Left Button Link,Enlace del botón izquierdo,رابط الزر الأيسر
Right Button Text,Right Button Text,Texto del botón derecho,نص الزر الأيمن
Right Button Link,Right Button Link,Enlace del botón derecho,رابط الزر الأيمن
Add Step,Add Step,Agregar paso,أضف خطوة
Step Number,Step Number,Número de paso,رقم الخطوة
Rating,Rating,Clasificación,تقييم
Add Coin,Add Coin,Agregar moneda,أضف عملة
Both,Both,Ambos,كلاهما
Sender,Sender,Remitente,مرسل
"This ticket is solved, you can not send message right now.","This ticket is solved, you can not send message right now.","Este ticket está solucionado, no puedes enviar mensaje en este momento.",تم حل هذه التذكرة، لا يمكنك إرسال رسالة الآن.
Pending Tickets,Pending Tickets,Entradas pendientes,التذاكر المعلقة
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة
Solved Tickets,Solved Tickets,Entradas resueltas,تذاكر محلولة
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
Coin,Coin,Moneda,عملة
Information of Logs,Information of Logs,Información de registros,معلومات السجلات
Approved Confirmation,Approved Confirmation,Confirmación aprobada,التأكيد المعتمد
Are you sure to approved this request?,Are you sure to approved this request?,¿Está seguro de haber aprobado esta solicitud?,هل أنت متأكد من الموافقة على هذا الطلب؟
Rejection Confirmation,Rejection Confirmation,Confirmación de rechazo,تأكيد الرفض
Policy Link,Policy Link,Enlace de política,رابط السياسة
Import,Import,Importar,يستورد
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة
All,All,Todo,الجميع
Date,Date,Fecha,تاريخ
After Charge,After Charge,Después de la carga,بعد الشحن
Status updated successfully,Status updated successfully,Estado actualizado exitosamente,تم تحديث الحالة بنجاح
Player ID,Player ID,ID del jugador,معرف اللاعب
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Permission Group,Permission Group,Grupo de permisos,مجموعة الأذونات
The message field is required.,The message field is required.,El campo del mensaje es obligatorio.,حقل الرسالة مطلوب.
Version,Version,Versión,إصدار
Site Name,Site Name,Nombre del sitio,اسم الموقع
Site Title,Site Title,Título del sitio,عنوان الموقع
User Registration,User Registration,registro de usuario,تسجيل المستخدم
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة
Force SSL,Force SSL,Forzar SSL,فرض SSL
Email Notification,Email Notification,Notificación de correo electrónico,إشعار البريد الإلكتروني
Activated,Activated,Activado,مفعل
Deactivated,Deactivated,Desactivado,معطل
Basic settings status updated successfully!,Basic settings status updated successfully!,¡El estado de la configuración básica se actualizó correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن)
No changes to update.,No changes to update.,No hay cambios para actualizar.,لا توجد تغييرات للتحديث.
Image assets updated successfully!.,Image assets updated successfully!.,Recursos de imagen actualizados exitosamente.,تم تحديث أصول الصورة بنجاح!.
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO)
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Social Title,Social Title,Título social,العنوان الاجتماعي
Social Description,Social Description,Descripción social,الوصف الاجتماعي
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!
Download,Download,Descargar,تحميل
Selectable,Selectable,Seleccionable,قابل للتحديد
Select Method,Select Method,Seleccionar método,حدد الطريقة
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني
Host,Host,Anfitrión,يستضيف
Port,Port,Puerto,ميناء
Encryption,Encryption,Cifrado,التشفير
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي
Heading,Heading,Título,عنوان
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!
Item,Item,Artículo,غرض
Edit Item,Edit Item,Editar artículo,تعديل عنصر
Office Hours,Office Hours,Horas de oficina,ساعات العمل
Edit Donetion,Edit Donetion,Editar finalización,تحرير التبرع
Footer Description,Footer Description,Descripción del pie de página,وصف التذييل
Newsletter Description,Newsletter Description,Descripción del boletín,وصف النشرة الإخبارية
App Description,App Description,Descripción de la aplicación,وصف التطبيق
Add Social Link,Add Social Link,Agregar enlace social,إضافة رابط اجتماعي
Add Floting,Add Floting,Agregar flotante,أضف العائمة
Edit Header Floting,Edit Header Floting,Editar encabezado flotante,تحرير رأس العائمة
Add Slider,Add Slider,Agregar control deslizante,إضافة المنزلق
Edit Header Slider,Edit Header Slider,Editar control deslizante de encabezado,تحرير شريط تمرير الرأس
Button Name,Button Name,Nombre del botón,اسم الزر
Button Link,Button Link,Enlace de botón,رابط الزر
Video Link,Video Link,Enlace de video,رابط الفيديو
Edit Service,Edit Service,Editar servicio,تحرير الخدمة
Add testimonial,Add testimonial,Agregar testimonio,أضف شهادة
Edit Testimonial Item,Edit Testimonial Item,Editar artículo de testimonio,تحرير عنصر الشهادة
The code field is required.,The code field is required.,El campo del código es obligatorio.,حقل الرمز مطلوب.
Extension has been updated successfully,Extension has been updated successfully,La extensión se ha actualizado correctamente.,تم تحديث الامتداد بنجاح
Disabled,Disabled,Desactivado,عاجز
Payment gateway added successfully!,Payment gateway added successfully!,¡Pasarela de pago agregada exitosamente!,تمت إضافة بوابة الدفع بنجاح!
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente Editar,تحرير إضافة الأموال يدويًا
Add Link,Add Link,Añadir enlace,إضافة رابط
Slug,Slug,Babosa,سبيكة
Content,Content,Contenido,محتوى
Edit Useful Link,Edit Useful Link,Editar enlace útil,تعديل الرابط المفيد
Useful link deleted successfully!,Useful link deleted successfully!,¡Enlace útil eliminado exitosamente!,تم حذف الرابط المفيد بنجاح!
Useful link status updated successfully!,Useful link status updated successfully!,¡El estado del enlace útil se actualizó exitosamente!,تم تحديث حالة الرابط المفيد بنجاح!
Subscribe Time,Subscribe Time,Hora de suscribirse,وقت الاشتراك
ID,ID,IDENTIFICACIÓN,بطاقة تعريف
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات المتصفح
Instance ID,Instance ID,ID de instancia,معرف المثيل
Primary key,Primary key,Clave primaria,المفتاح الأساسي
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,البث/تكوين الإخطار الداخلي
APP ID,APP ID,ID DE APLICACIÓN,معرف التطبيق
Secret key,Secret key,Llave secreta,المفتاح السري
Cluster,Cluster,Grupo,تَجَمَّع
Notification Body,Notification Body,Organismo de notificación,هيئة الإخطار
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات
Body,Body,Cuerpo,جسم
Page Name,Page Name,Nombre de la página,اسم الصفحة
